,Green Tourmaline (Verdelite)
118,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp129312
119,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127694
120,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108749
121,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127239
122,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp40173
123,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp129328
124,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp102770
125,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108063
126,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127455
127,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp125321
128,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108705
129,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108096
130,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp94727
131,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127209
132,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp125316
133,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108700
134,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108048
135,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp125329
136,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108721
137,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108654
138,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108724
139,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp102741
140,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122758
141,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122729
142,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108680
143,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108047
144,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108720
145,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp94724
146,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127215
147,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp40174
148,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127447
149,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108650
150,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp125319
151,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp124409
152,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122751
153,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp40095
154,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127664
155,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122669
156,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108062
157,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp135096
158,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122679
159,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108054
160,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp129437
161,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127344
162,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122705
163,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp40201
164,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122752
165,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108070
166,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108727
167,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122701
168,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108730
169,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp134560
170,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp122691
171,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108072
172,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108728
173,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp127414
174,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp108093
175,https://www.gempundit.com/gemstones/green-tourmaline/tourmaline-gp129429
